81898	0
81899	0
81900	0
81901	0
81902	0
81903	0
81904	0
81905	2
81906	0
81907	6
81908	0
81909	0
81910	0
81911	0
81912	0
81913	0
81914	0
81915	0
81916	17
81917	0
81918	0
81919	0
81920	0
81921	0
81922	67
81923	0
81924	0
81925	0
81926	0
81927	0
81928	0
81929	0
81930	0
81931	0
81932	1
81933	1
81934	0
81935	0
81936	0
81937	0
81938	0
81939	0
81940	78
81941	0
81942	1
81943	2
81944	0
81945	0
81946	0
81947	11
81948	0
81949	0
81950	0
81951	0
81952	0
81953	0
81954	2
81955	0
81956	0
81957	0
81958	1
81959	0
81960	7
81961	0
81962	0
81963	0
81964	0
81965	39
81966	23
81967	0
81968	0
81969	0
81970	28
81971	0
81972	0
81973	0
81974	0
81975	1
81976	0
81977	1
81978	0
81979	0
81980	0
81981	1
81982	0
81983	0
81984	0
81985	0
81986	0
81987	1
81988	0
81989	0
81990	0
81991	1
81992	0
81993	0
81994	7
81995	3
81996	0
81997	0
81998	0
81999	4
82000	0
82001	0
82002	4
82003	0
82004	0
82005	0
82006	2
82007	0
82008	0
82009	0
82010	26
82011	0
82012	0
82013	0
82014	0
82015	0
82016	0
82017	0
82018	0
82019	0
82020	0
82021	0
82022	0
82023	0
82024	3
82025	0
82026	4
82027	0
